Ranking,Team,Rating
1,Michigan State Spartans,0.894503255
2,Duke Blue Devils,0.80754461
3,Kentucky Wildcats,0.792234329
4,Maryland Terrapins,0.735824854
5,Virginia Cavaliers,0.732963101
6,Kansas Jayhawks,0.726741699
7,Louisville Cardinals,0.709136935
8,North Carolina Tar Heels,0.694637863
9,Villanova Wildcats,0.681647409
10,Saint Marys College-California Gaels,0.670627004
11,Colorado Buffaloes,0.669215391
12,Virginia Commonwealth Rams,0.665141525
13,Gonzaga Bulldogs,0.660915867
14,Michigan Wolverines,0.652692873
15,Florida Gators,0.651909234
16,New Mexico State Aggies,0.644806956
17,Utah State Aggies,0.639555182
18,Wisconsin Badgers,0.639020273
19,Houston Cougars,0.636418447
20,Seton Hall Pirates,0.635709045
21,Purdue Boilermakers,0.628579068
22,Davidson College Wildcats,0.628524631
23,North Carolina State Wolfpack,0.622515865
24,Marquette Golden Eagles,0.61776928
25,Memphis Tigers,0.617402436
26,Ohio State Buckeyes,0.616967943
27,Texas Tech Red Raiders,0.616233292
28,Cincinnati Bearcats,0.611480448
29,Liberty University Flames,0.610931148
30,Louisiana State Tigers,0.610579313
31,Mississippi State Bulldogs,0.609651429
32,Vermont Catamounts,0.608670999
33,Oregon Ducks,0.608638362
34,Creighton Blue Jays,0.608159633
35,East Tennessee State Buccaneers,0.604620883
36,Baylor Bears,0.603968243
37,South Florida Bulls,0.603265838
38,Florida State Seminoles,0.599665834
39,Auburn Tigers,0.598272626
40,Texas Longhorns,0.597816517
41,Tennessee Volunteers,0.597485891
42,Furman  Paladins,0.596068874
43,Belmont Bruins,0.594830504
44,Iowa Hawkeyes,0.590750377
45,Harvard Crimson,0.588677428
46,Notre Dame Fighting Irish,0.582055818
47,Xavier Musketeers,0.579109835
48,Dayton Flyers,0.578110705
49,Wofford Terriers,0.57003131
50,Providence Friars,0.567373333
51,Indiana Hoosiers,0.565338269
52,Kansas State Wildcats,0.564824776
53,Arizona State Sun Devils,0.563009875
54,Iowa State Cyclones,0.560927714
55,Penn State Nittany Lions,0.560412931
56,Illinois Fighting Illini,0.557179323
57,Mississippi Rebels,0.555350327
58,Northern Kentucky Norse,0.551181078
59,Oregon State Beavers,0.550611751
60,Temple Owls,0.550429474
61,North Carolina-Greensboro Spartans,0.548213887
62,Arkansas Razorbacks,0.545465075
63,Rhode Island Rams,0.544686705
64,Arizona Wildcats,0.542377688
65,Syracuse Orange,0.542154369
66,San Francisco Dons,0.535110148
67,Murray State Racers,0.535053047
68,Connecticut Huskies,0.534473226
69,Toledo Rockets,0.533770029
70,Buffalo Bulls,0.531402859
71,Georgia Southern Eagles,0.5301295
72,Georgetown Hoyas,0.529660205
73,Butler Bulldogs,0.529036418
74,Louisiana Tech Bulldogs,0.52887725
75,Colgate Red Raiders,0.52800597
76,Hofstra Pride,0.527469682
77,California-Irvine Anteaters,0.524567453
78,Fresno State Bulldogs,0.524253221
79,Illinois-Chicago Flames,0.523854532
80,Texas A&M Aggies,0.52315973
81,Oklahoma State Cowboys,0.521320015
82,Missouri Tigers,0.51953844
83,Bowling Green State Falcons,0.517850154
84,Western Kentucky Hilltoppers,0.516650805
85,Boise State Broncos,0.515494415
86,California-Santa Barbara Gauchos,0.515344984
87,Seattle University Red Hawks,0.514006944
88,Alabama Crimson Tide,0.513695976
89,Loyola-Chicago Ramblers,0.512822037
90,Oklahoma Sooners,0.512779186
91,Brigham Young Cougars,0.512467401
92,Wichita State Shockers,0.512096476
93,College of Charleston Cougars,0.511910965
94,Radford Highlanders,0.510354398
95,Rutgers Scarlet Knights,0.510326881
96,Virginia Tech Hokies,0.507468334
97,Georgia Tech Yellow Jackets,0.503691811
98,Washington Huskies,0.503458245
99,Wright State Raiders,0.503347122
100,New Jersey Tech Highlanders,0.502776658
101,Northern Iowa Panthers,0.502673039
102,Richmond Spiders,0.501259451
103,Old Dominion Monarchs,0.499311892
104,West Virginia Mountaineers,0.499267578
105,Akron Zips,0.498782731
106,Ball State Cardinals,0.498355022
107,UCLA Bruins,0.498245196
108,Duquesne Dukes,0.497635004
109,Pennsylvania Quakers,0.497307313
110,San Diego State Aztecs,0.497285937
111,North Dakota State Bison,0.495764478
112,Alabama-Birmingham Blazers,0.495581941
113,Central Michigan Chippewas,0.495384662
114,Loyola-Marymount Lions,0.495384662
115,Drake Bulldogs,0.495152229
116,Southern California Trojans,0.493630464
117,Texas Christian Horned Frogs,0.493620314
118,Gardner Webb Runnin Bulldogs,0.493217804
119,Pepperdine Waves,0.488269044
120,Texas-San Antonio Roadrunners,0.487489244
121,North Texas Mean Green Eagles,0.486892607
122,Northern Colorado Bears,0.485974217
123,Miami-Florida Hurricanes,0.483188444
124,Clemson Tigers,0.483015802
125,Bucknell Bison,0.482699563
126,South Carolina Gamecocks,0.481764972
127,Wisconsin-Green Bay Phoenix,0.481258741
128,Pittsburgh Panthers,0.480129503
129,Charleston Southern Buccaneers,0.479672459
130,Samford Bulldogs,0.477958065
131,DePaul Blue Demons,0.476753569
132,Saint Bonaventure Bonnies,0.476748107
133,Brown Bears,0.474386998
134,Texas State Bobcats,0.473437612
135,Lipscomb Bison,0.472259301
136,Yale Bulldogs,0.471872988
137,Nevada Wolf Pack,0.470998756
138,Maryland-Baltimore County Retrievers,0.470268447
139,Princeton Tigers,0.4692592
140,Stony Brook Seawolves,0.467614539
141,Northeastern Huskies,0.46760632
142,Stanford Cardinal,0.4657235
143,Texas-Arlington Mavericks,0.461441048
144,Northern Illinois Huskies,0.461422717
145,Southern Methodist Mustangs,0.460855676
146,Weber State Wildcats,0.460763494
147,George Mason Patriots,0.460446675
148,Santa Clara Broncos,0.457813201
149,Central Florida Knights,0.457721127
150,Iona Gaels,0.456841406
151,South Dakota Coyotes,0.456327006
152,New Mexico Lobos,0.455602546
153,North Florida Ospreys,0.452779268
154,Kent State Golden Flashes,0.451388084
155,Minnesota Golden Gophers,0.450532189
156,Columbia Lions,0.447926437
157,Saint Louis Billikens,0.447660978
158,Wake Forest Demon Deacons,0.44730423
159,Bradley Braves,0.445924862
160,Tulsa Golden Hurricane,0.444251359
161,South Alabama Jaguars,0.443854488
162,Miami-Ohio Redhawks,0.441406441
163,Northwestern Wildcats,0.439669955
164,California Baptist Lancers,0.438893687
165,Florida Atlantic Owls,0.438690276
166,Boston College Eagles,0.437570539
167,Saint Johns Red Storm,0.437418498
168,Coastal Carolina Chanticleers,0.436974007
169,Grand Canyon Antelope,0.436881475
170,Hawaii Rainbow Warriors,0.436291628
171,Georgia Bulldogs,0.434467013
172,Montana Grizzlies,0.434418811
173,Sacred Heart Pioneers,0.432845194
174,Boston University Terriers,0.428958027
175,Air Force Falcons,0.427539459
176,Rider Broncs,0.426994535
177,Nebraska-Omaha Mavericks,0.426390478
178,Indiana State Sycamores,0.424303516
179,South Dakota State Jackrabbits,0.424105701
180,Missouri State Bears,0.421604985
181,American Eagles,0.421118159
182,Albany Great Danes,0.421028683
183,Long Island Brooklyn Blackbirds,0.421018206
184,Marshall Thundering Herd,0.415279927
185,Fairleigh Dickinson-Metropolitan Knights,0.413570385
186,Utah Utes,0.412790217
187,New Orleans Privateers,0.411711198
188,Dartmouth College Big Green,0.410630849
189,Florida International Panthers,0.41049942
190,Abilene Christian Wildcats,0.409191639
191,San Diego Toreros,0.408182598
192,Sam Houston State Bearkats,0.404901881
193,California State-Northridge Matadors,0.404623457
